48;Antrak Air;\N;4;ABV;ANTRAK;Ghana;N
49;Airborne Express;\N;GB;ABX;ABEX;United States;N
50;ABX Air;\N;GB;ABX;ABEX;United States;N
51;ATA Brasil;\N;NULL;ABZ;ATA-BRAZIL;Brazil;N
52;Avcard Services;\N;NULL;ACC;NULL;United Kingdom;N
53;Academy Airlines;\N;NULL;ACD;ACADEMY;United States;N
54;Aero Comondu;\N;NULL;ACO;AERO COMONDU;Mexico;N
55;Astral Aviation;\N;8V;ACP;ASTRAL CARGO;Kenya;Y
56;Air Cess;\N;NULL;ACS;NULL;Liberia;N
57;Air Aurora;\N;NULL;AAI;BOREALIS;United States;N
58;Air Cargo Transportation System;\N;NULL;ACU;AFRISPIRIT;Kenya;N
59;Air Charter Service;\N;NULL;ACV;NULL;United Kingdom;N
60;Aero Asia International;\N;E4;RSO;AERO ASIA;Pakistan;N
61;Air Charters;\N;NULL;ACX;PARAIR;Canada;N
62;Air Togo;\N;YT;TGA;AIR TOGO;Togo;N
63;Air Somalia;\N;NULL;RSM;AIR SOMALIA;Somali Republic;N
64;Atlas Cargo Lines;\N;NULL;ACY;ATLAS CARGOLINES;Morocco;N
65;Airservices Australia;\N;NULL;ADA;AUSCAL;Australia;N
66;Advance Leasing Company;\N;4G;NULL;NULL;United States;N
67;Aztec Worldwide Airlines;\N;7A;NULL;NULL;United States;N
68;Air Tindi;\N;8T;NULL;NULL;Canadian Territories;Y
69;Antonov Airlines;\N;NULL;ADB;ANTONOV BUREAU;Ukraine;N
70;Air Atlantic Dominicana;\N;NULL;ADC;ATLAN-DOMINICAN;Dominican Republic;N
71;Advanced Air Co.;\N;NULL;ADD;NULL;Japan;N
72;Ada Air;\N;ZY;ADE;ADA AIR;Albania;Y
73;Aerea Flying Training Organization;\N;NULL;ADG;AEREA TRAINING;Spain;N
74;Audeli Air;\N;NULL;ADI;AUDELI;Spain;N
75;Abicar;\N;NULL;ADJ;ABICAR;Ivory Coast;N
76;ADC Airlines;\N;Z7;ADK;ADCO;Nigeria;N
77;Aero Dynamics;\N;NULL;ADL;COTSWOLD;United Kingdom;N
78;Aerolineas Dominicanas;\N;NULL;ADM;DOMINAIR;Dominican Republic;N
79;Aerodienst GmbH;\N;NULL;ADN;AERODIENST;Germany;N
80;Aerodiplomatic;\N;NULL;ADP;AERODIPLOMATIC;Mexico;N
81;Aerodyne;\N;NULL;ADY;AERODYNE;United States;N
82;Avion Taxi;\N;NULL;ADQ;AIR DATA;Canada;N
83;Adria Airways;\N;JP;ADR;ADRIA;Slovenia;Y
84;Aviones de Sonora;\N;NULL;ADS;SONORAV;Mexico;N
85;Air Dorval;\N;NULL;ADT;AIR DORVAL;Canada;N
86;Airdeal Oy;\N;NULL;ADU;AIRDEAL;Finland;N
87;Advance Air Charters;\N;NULL;ADV;ADVANCE;Canada;N
88;Air Andaman;\N;NULL;ADW;AIR ANDAMAN;Thailand;N
89;Anderson Aviation;\N;NULL;ADX;ANDAX;United States;N
90;Air Europa;\N;UX;AEA;EUROPA;Spain;Y
91;Air Southwest Ltd.;\N;NULL;ASW;AIRSOUTHWEST;Canada;N
92;Air Special;\N;NULL;ASX;AIRSPEC;Czech Republic;N
93;Aero Benin;\N;EM;AEB;AEROBEN;Benin;Y
94;Aerocesar;\N;NULL;AEC; Aerovias Del Cesar;AEROCESAR;N
95;Aerotrans Airlines;\N;NULL;AED;NULL;Russia;N
96;Aegean Airlines;\N;A3;AEE;AEGEAN;Greece;Y
97;Aerofumigaciones Sam;\N;NULL;AEG;FUMIGACIONES SAM;Chile;N
98;Aeroexpreso Interamericano;\N;NULL;AEI;INTERAM;Colombia;N
99;Air Express;\N;NULL;AEJ;KHAKI EXPRESS;Tanzania;N
100;Aerocon;\N;NULL;AEK;AEROCON;Bolivia;N
